source_artifact,model,seed,fold,best_epoch,best_val_ap,early_stopped,threshold,hidden_dim,dropout_1,dropout_2,lr,weight_decay,feature_names,train_auc,train_ap,train_accuracy,train_f1,train_precision,train_recall,train_brier,train_positives,train_n,validation_auc,validation_ap,validation_accuracy,validation_f1,validation_precision,validation_recall,validation_brier,validation_positives,validation_n,test_auc,test_ap,test_accuracy,test_f1,test_precision,test_recall,test_brier,test_positives,test_n,model_family,feature_set,patience,max_epochs
results/metrics/benchmark_full_metrics.csv,weighted_degree,77,2,,,,0.05,,,,,,,0.4084677419354838,0.6802684456399812,0.5315315315315315,0.6708860759493671,0.6794871794871795,0.6625,0.5647929876833323,80,111,0.3880070546737213,0.6702451151433944,0.4568965517241379,0.5771812080536912,0.6323529411764706,0.5308641975308642,0.5681890684134572,81,116,0.5009469696969697,0.6970254091987155,0.504424778761062,0.588235294117647,0.7142857142857143,0.5,0.5901405035396188,80,113,network_heuristic,native_score,,
results/metrics/benchmark_full_metrics.csv,betweenness_centrality,77,2,,,,0.05,,,,,,,0.5566532258064516,0.7417672566232257,0.4594594594594595,0.4736842105263157,0.7941176470588235,0.3375,0.5666582909440052,80,111,0.5352733686067019,0.6935938254787951,0.4827586206896552,0.5081967213114754,0.7560975609756098,0.382716049382716,0.5413649425287356,81,116,0.5426136363636364,0.7212423209508678,0.4424778761061947,0.4324324324324324,0.7741935483870968,0.3,0.567826941986234,80,113,network_heuristic,native_score,,
results/metrics/benchmark_full_metrics.csv,closeness_centrality,77,2,,,,0.06,,,,,,,0.5663306451612903,0.7584235221360522,0.3333333333333333,0.2448979591836734,0.6666666666666666,0.15,0.6771919683325527,80,111,0.6296296296296297,0.8071604212154405,0.5431034482758621,0.5391304347826087,0.9117647058823528,0.382716049382716,0.6224010595554491,81,116,0.509090909090909,0.7229100782718841,0.3628318584070796,0.3333333333333333,0.6428571428571429,0.225,0.6336237742274242,80,113,network_heuristic,native_score,,
results/metrics/benchmark_full_metrics.csv,composite_risk_score,77,2,,,,0.18,,,,,,,0.4826612903225806,0.7012595909621586,0.7297297297297297,0.8421052631578948,0.7272727272727273,1.0,0.2546872686034648,80,111,0.4238095238095238,0.6644192665152834,0.6896551724137931,0.8144329896907216,0.6991150442477876,0.9753086419753086,0.276022269029558,81,116,0.4772727272727273,0.7155018082914006,0.7079646017699115,0.8253968253968255,0.7155963302752294,0.975,0.2684401819310348,80,113,network_heuristic,native_score,,
results/metrics/benchmark_full_metrics.csv,gaussian_naive_bayes,77,2,,,,0.0999999999999999,,,,,,,0.6225806451612903,0.8185368446425432,0.7387387387387387,0.8415300546448088,0.7475728155339806,0.9625,0.2331897708933598,80,111,0.636331569664903,0.8054890853130416,0.6982758620689655,0.8128342245989304,0.7169811320754716,0.9382716049382716,0.2547003227035627,81,116,0.5965909090909091,0.7655264002881095,0.7079646017699115,0.8135593220338985,0.7422680412371134,0.9,0.2848974325157155,80,113,traditional_ml,full,,
results/metrics/benchmark_full_metrics.csv,no_graph_logistic,77,2,87.0,0.8020078272542293,True,0.4699999999999999,,,,,,,0.6745967741935484,0.8300458987406115,0.7297297297297297,0.8387096774193549,0.7358490566037735,0.975,0.2416789326943499,80,111,0.6349206349206349,0.8020078272542293,0.7155172413793104,0.8272251308900522,0.7181818181818181,0.9753086419753086,0.2442535902638958,81,116,0.6162878787878788,0.7514921672012028,0.672566371681416,0.7955801104972375,0.7128712871287128,0.9,0.2468979949509581,80,113,traditional_ml,full,50.0,800.0
results/metrics/benchmark_full_metrics.csv,no_graph_mlp,77,2,25.0,0.720178630532582,True,0.05,8.0,,,,,,0.4903225806451612,0.7325639607095427,0.7207207207207207,0.837696335078534,0.7207207207207207,1.0,0.2500676515157815,80,111,0.5569664902998236,0.720178630532582,0.6982758620689655,0.8223350253807107,0.6982758620689655,1.0,0.2500162116117863,81,116,0.4768939393939393,0.6824873775278342,0.7079646017699115,0.8290155440414507,0.7079646017699115,1.0,0.2500942298443065,80,113,traditional_ml,full,50.0,800.0
results/metrics/benchmark_full_metrics.csv,graphsage_mean_neighbor,77,2,247.0,0.8126974623059965,True,0.4099999999999999,,,,,,,0.6983870967741935,0.8589880120681972,0.7657657657657657,0.8586956521739131,0.7596153846153846,0.9875,0.2304086389874401,80,111,0.6518518518518519,0.8126974623059965,0.7155172413793104,0.8290155440414507,0.7142857142857143,0.9876543209876544,0.2329488806415653,81,116,0.6549242424242424,0.8025499222201473,0.6814159292035398,0.8043478260869567,0.7115384615384616,0.925,0.2438572266167777,80,113,graph_model,full,50.0,800.0
results/metrics/benchmark_full_metrics.csv,random,101,0,,,,0.08,,,,,,,0.4541666666666666,0.6869626522178299,0.6902654867256637,0.8128342245989305,0.7102803738317757,0.95,0.347206924110632,80,113,0.5391129032258064,0.7063618189909543,0.6846846846846847,0.8044692737430167,0.7272727272727273,0.9,0.3576665095916841,80,111,0.4222222222222222,0.7024338575945783,0.5862068965517241,0.7362637362637363,0.6633663366336634,0.8271604938271605,0.3866525018071259,81,116,network_heuristic,native_score,,
results/metrics/benchmark_full_metrics.csv,degree_centrality,101,0,,,,0.05,,,,,,,0.4939393939393939,0.7049525376865315,0.6902654867256637,0.8167539267015707,0.7027027027027027,0.975,0.3076769911504424,80,113,0.5493951612903226,0.692774721702477,0.7387387387387387,0.8465608465608466,0.7339449541284404,1.0,0.2565765765765765,80,111,0.4994708994708994,0.650948018400194,0.7068965517241379,0.826530612244898,0.7043478260869566,1.0,0.2917672413793103,81,116,network_heuristic,native_score,,
