node_id,community_id,community_size
S064-001,76,3
S064-002,76,3
S064-004,76,3
S067-001,77,4
S067-002,77,4
S067-003,77,4
S067-004,77,4
S070-001,78,3
S070-002,78,3
S070-003,78,3
S071-001,79,6
S071-002,79,6
S071-004,79,6
S071-005,79,6
S071-006,79,6
S071-008,79,6
S072-001,80,6
S072-004,80,6
S072-005,80,6
S072-006,80,6
S072-007,80,6
S072-008,80,6
S073-001,81,4
S073-002,81,4
S073-003,81,4
S073-004,81,4
S074-001,82,4
S074-002,82,4
S074-003,82,4
S074-004,82,4
S075-001,83,4
S075-002,83,4
S075-003,83,4
S075-004,83,4
S078-001,84,3
S078-002,84,3
S078-003,84,3
S079-001,85,5
S079-003,85,5
S079-004,85,5
S079-005,85,5
S079-006,85,5
S080-001,86,3
S080-002,86,3
S080-003,86,3
S081-001,87,2
S081-003,87,2
