profile,param_id,beta,gamma,run_id,seed,budget_k_pct,budget_k_nodes,strategy,selected_node_ids,final_mean_infected_per_hh,baseline_mean_infected_per_hh,reduction_vs_baseline_pct,transmissions_blocked,transmission_block_rate_pct,infections_prevented,prevention_rate_pct,precision_k_pct,transmission_coverage,selected_index_cases,selected_contacts,sars_pos_contacts_in_selected,recall_k_pct,dynamic_duration_coverage_pct,dynamic_contact_event_coverage_pct,lcc_reduction_pct
smoke,beta0.25_gamma0.10,0.25,0.1,2,1021645,16,54,betweenness,S005-003|S080-001|J075-001|J063-004|S008-002|J030-004|S028-003|J023-001|S036-002|J029-003|S023-003|J041-004|S078-001|S061-001|S012-003|J021-002|S070-001|S004-002|J073-002|J054-001|S039-001|S009-003|S040-002|S064-004|S074-003|S052-003|J010-001|J047-003|S072-001|J043-004|S011-003|J033-001|S026-007|S007-008|S021-004|S071-001|S045-004|S073-004|S018-005|S057-002|S033-003|J057-003|S015-001|S063-004|J020-006|S048-002|J027-001|S067-004|J057-001|J070-001|S033-001|S049-003|J070-002|J050-003,2.1818,3.4659,37.0492,87.0,30.4196,82.0,53.5948,74.0741,30.4196,17.0,37.0,23.0,16.5975,13.1024,13.7838,12.5
smoke,beta0.25_gamma0.10,0.25,0.1,0,1001646,16,54,gnn,S081-001|J075-001|J055-001|S008-001|S047-001|J053-001|S018-003|S018-001|J067-001|J059-001|S071-005|S012-001|J050-003|S079-001|S079-004|J050-001|J009-001|S071-001|S052-001|S011-001|S060-003|J059-003|J064-001|J063-002|S005-001|J076-001|S031-001|S060-001|J059-002|S079-003|J053-002|J044-005|S012-003|S016-001|S073-003|S051-004|S011-002|S050-002|J041-002|S011-003|S044-003|J067-002|J008-001|J037-001|J064-003|J075-003|S071-008|J054-004|S044-001|S070-003|S011-005|J039-007|S073-001|J008-002,2.2727,3.375,32.6599,88.0,30.7692,65.0,42.4837,87.037,30.7692,26.0,28.0,21.0,19.5021,31.1232,27.3313,0.0
smoke,beta0.25_gamma0.10,0.25,0.1,1,1011646,16,54,gnn,S081-001|J075-001|J055-001|S008-001|S047-001|J053-001|S018-003|S018-001|J067-001|J059-001|S071-005|S012-001|J050-003|S079-001|S079-004|J050-001|J009-001|S071-001|S052-001|S011-001|S060-003|J059-003|J064-001|J063-002|S005-001|J076-001|S031-001|S060-001|J059-002|S079-003|J053-002|J044-005|S012-003|S016-001|S073-003|S051-004|S011-002|S050-002|J041-002|S011-003|S044-003|J067-002|J008-001|J037-001|J064-003|J075-003|S071-008|J054-004|S044-001|S070-003|S011-005|J039-007|S073-001|J008-002,2.3523,3.2727,28.125,88.0,30.7692,65.0,42.4837,87.037,30.7692,26.0,28.0,21.0,19.5021,31.1232,27.3313,0.0
smoke,beta0.25_gamma0.10,0.25,0.1,2,1021646,16,54,gnn,S081-001|J075-001|J055-001|S008-001|S047-001|J053-001|S018-003|S018-001|J067-001|J059-001|S071-005|S012-001|J050-003|S079-001|S079-004|J050-001|J009-001|S071-001|S052-001|S011-001|S060-003|J059-003|J064-001|J063-002|S005-001|J076-001|S031-001|S060-001|J059-002|S079-003|J053-002|J044-005|S012-003|S016-001|S073-003|S051-004|S011-002|S050-002|J041-002|S011-003|S044-003|J067-002|J008-001|J037-001|J064-003|J075-003|S071-008|J054-004|S044-001|S070-003|S011-005|J039-007|S073-001|J008-002,2.4432,3.4659,29.5082,88.0,30.7692,65.0,42.4837,87.037,30.7692,26.0,28.0,21.0,19.5021,31.1232,27.3313,0.0
smoke,beta0.25_gamma0.10,0.25,0.1,0,1001743,17,57,random,J070-004|J027-003|S061-004|S040-001|S045-004|J042-004|S026-009|S073-001|S044-003|S078-001|S072-006|S046-001|S072-004|J008-007|J030-004|J044-005|J077-003|J067-007|S060-004|J075-001|J031-002|S071-004|S048-006|S036-002|S012-002|S050-004|S007-005|S079-006|S071-008|S081-001|J031-001|J063-005|S040-003|J057-003|S056-003|J057-004|S073-002|S057-004|J039-007|S021-001|J068-002|J072-003|S062-007|S028-004|J042-001|J020-001|J067-001|S036-001|S057-002|S023-003|S072-005|S021-004|J057-001|S018-001|S080-003|J055-001|S048-005,2.5455,3.375,24.5791,92.0,32.1678,74.0,48.366,75.4386,32.1678,15.0,42.0,28.0,17.8423,31.0978,30.4749,12.5
smoke,beta0.25_gamma0.10,0.25,0.1,1,1011743,17,57,random,S056-001|S045-005|S018-005|S075-002|J059-003|J053-001|J043-001|J020-001|S062-003|S047-001|S048-002|S074-002|S078-002|S036-001|S005-003|S028-002|J067-006|S064-002|S026-009|S049-003|S006-001|S031-002|S057-003|S026-008|J076-002|J029-002|S057-002|S050-001|J075-004|S030-002|S073-001|S009-001|S056-003|S021-001|S072-008|S072-005|S007-006|J075-003|S062-007|J044-007|S071-006|S067-001|J041-002|S061-002|S078-003|S005-001|J067-007|J029-001|J076-001|J008-004|S006-008|J054-003|S007-008|S006-004|S071-008|S040-002|S045-002,2.4432,3.2727,25.3472,93.0,32.5175,82.0,53.5948,71.9298,32.5175,15.0,42.0,26.0,17.0124,31.7599,32.8514,25.0
smoke,beta0.25_gamma0.10,0.25,0.1,2,1021743,17,57,random,J067-006|J037-002|S039-003|J023-006|S079-001|J037-004|J044-004|S052-002|S067-002|S031-002|S045-003|S033-003|S011-001|J020-003|J050-004|J033-002|S071-004|J059-001|J077-005|S053-001|S063-002|S018-004|S060-001|S026-007|S050-002|S016-002|J030-004|S012-002|J047-003|S048-006|S073-004|J057-003|J077-003|S072-007|J053-001|S064-001|S047-001|S048-001|J067-007|S061-002|S057-001|J041-005|S028-001|S018-003|J050-002|J021-002|J027-002|S044-002|J055-004|S050-003|S078-002|J010-002|J067-001|S007-001|J068-001|S032-001|J041-002,2.4432,3.4659,29.5082,97.0,33.9161,86.0,56.2092,77.193,33.9161,15.0,42.0,29.0,18.2573,25.1156,24.091,12.5
smoke,beta0.25_gamma0.10,0.25,0.1,0,1001744,17,57,degree,J043-005|S005-001|J063-001|J043-006|S028-004|J008-004|S005-002|S080-002|J063-005|J008-001|J063-002|J033-007|S028-002|J023-006|S018-003|J008-006|S011-004|S080-003|S028-001|J063-003|S072-006|J044-006|J023-008|S011-005|S026-003|J075-003|S072-004|S005-003|S018-001|S026-001|J039-006|S061-005|S036-003|S028-005|J008-007|J043-003|S060-004|S036-004|J075-004|J039-003|J039-005|J008-005|J053-003|S026-009|J044-007|S018-004|J023-004|J033-008|S026-008|J053-001|S079-006|J033-002|J023-005|S061-003|S036-001|J053-002|J008-002,2.7386,3.375,18.8552,68.0,23.7762,41.0,26.7974,57.8947,23.7762,8.0,49.0,25.0,13.6929,67.1809,60.0248,0.0
smoke,beta0.25_gamma0.10,0.25,0.1,1,1011744,17,57,degree,J043-005|S005-001|J063-001|J043-006|S028-004|J008-004|S005-002|S080-002|J063-005|J008-001|J063-002|J033-007|S028-002|J023-006|S018-003|J008-006|S011-004|S080-003|S028-001|J063-003|S072-006|J044-006|J023-008|S011-005|S026-003|J075-003|S072-004|S005-003|S018-001|S026-001|J039-006|S061-005|S036-003|S028-005|J008-007|J043-003|S060-004|S036-004|J075-004|J039-003|J039-005|J008-005|J053-003|S026-009|J044-007|S018-004|J023-004|J033-008|S026-008|J053-001|S079-006|J033-002|J023-005|S061-003|S036-001|J053-002|J008-002,2.5227,3.2727,22.9167,68.0,23.7762,41.0,26.7974,57.8947,23.7762,8.0,49.0,25.0,13.6929,67.1809,60.0248,0.0
smoke,beta0.25_gamma0.10,0.25,0.1,2,1021744,17,57,degree,J043-005|S005-001|J063-001|J043-006|S028-004|J008-004|S005-002|S080-002|J063-005|J008-001|J063-002|J033-007|S028-002|J023-006|S018-003|J008-006|S011-004|S080-003|S028-001|J063-003|S072-006|J044-006|J023-008|S011-005|S026-003|J075-003|S072-004|S005-003|S018-001|S026-001|J039-006|S061-005|S036-003|S028-005|J008-007|J043-003|S060-004|S036-004|J075-004|J039-003|J039-005|J008-005|J053-003|S026-009|J044-007|S018-004|J023-004|J033-008|S026-008|J053-001|S079-006|J033-002|J023-005|S061-003|S036-001|J053-002|J008-002,2.625,3.4659,24.2623,68.0,23.7762,41.0,26.7974,57.8947,23.7762,8.0,49.0,25.0,13.6929,67.1809,60.0248,0.0
smoke,beta0.25_gamma0.10,0.25,0.1,0,1001745,17,57,betweenness,S005-003|S080-001|J075-001|J063-004|S008-002|J030-004|S028-003|J023-001|S036-002|J029-003|S023-003|J041-004|S078-001|S061-001|S012-003|J021-002|S070-001|S004-002|J073-002|J054-001|S039-001|S009-003|S040-002|S064-004|S074-003|S052-003|J010-001|J047-003|S072-001|J043-004|S011-003|J033-001|S026-007|S007-008|S021-004|S071-001|S045-004|S073-004|S018-005|S057-002|S033-003|J057-003|S015-001|S063-004|J020-006|S048-002|J027-001|S067-004|J057-001|J070-001|S033-001|S049-003|J070-002|J050-003|J077-002|S057-001|S067-001,2.3636,3.375,29.9663,90.0,31.4685,84.0,54.902,73.6842,31.4685,19.0,38.0,23.0,17.4274,13.2057,13.9289,12.5
smoke,beta0.25_gamma0.10,0.25,0.1,1,1011745,17,57,betweenness,S005-003|S080-001|J075-001|J063-004|S008-002|J030-004|S028-003|J023-001|S036-002|J029-003|S023-003|J041-004|S078-001|S061-001|S012-003|J021-002|S070-001|S004-002|J073-002|J054-001|S039-001|S009-003|S040-002|S064-004|S074-003|S052-003|J010-001|J047-003|S072-001|J043-004|S011-003|J033-001|S026-007|S007-008|S021-004|S071-001|S045-004|S073-004|S018-005|S057-002|S033-003|J057-003|S015-001|S063-004|J020-006|S048-002|J027-001|S067-004|J057-001|J070-001|S033-001|S049-003|J070-002|J050-003|J077-002|S057-001|S067-001,2.2273,3.2727,31.9444,90.0,31.4685,84.0,54.902,73.6842,31.4685,19.0,38.0,23.0,17.4274,13.2057,13.9289,12.5
smoke,beta0.25_gamma0.10,0.25,0.1,2,1021745,17,57,betweenness,S005-003|S080-001|J075-001|J063-004|S008-002|J030-004|S028-003|J023-001|S036-002|J029-003|S023-003|J041-004|S078-001|S061-001|S012-003|J021-002|S070-001|S004-002|J073-002|J054-001|S039-001|S009-003|S040-002|S064-004|S074-003|S052-003|J010-001|J047-003|S072-001|J043-004|S011-003|J033-001|S026-007|S007-008|S021-004|S071-001|S045-004|S073-004|S018-005|S057-002|S033-003|J057-003|S015-001|S063-004|J020-006|S048-002|J027-001|S067-004|J057-001|J070-001|S033-001|S049-003|J070-002|J050-003|J077-002|S057-001|S067-001,2.2955,3.4659,33.7705,90.0,31.4685,84.0,54.902,73.6842,31.4685,19.0,38.0,23.0,17.4274,13.2057,13.9289,12.5
