profile,param_id,beta,gamma,run_id,seed,budget_k_pct,budget_k_nodes,strategy,time_step,mean_susceptible,mean_infected_active,mean_recovered,mean_ever_infected,n_households
smoke,beta0.20_gamma0.10,0.2,0.1,2,20144,1,3,degree,2,1.9886,1.6364,0.2045,1.8409,88
smoke,beta0.20_gamma0.10,0.2,0.1,2,20144,1,3,degree,3,1.6591,1.8636,0.3068,2.1705,88
smoke,beta0.20_gamma0.10,0.2,0.1,2,20144,1,3,degree,4,1.2841,2.0682,0.4773,2.5455,88
smoke,beta0.20_gamma0.10,0.2,0.1,2,20144,1,3,degree,5,1.0682,2.1364,0.625,2.7614,88
smoke,beta0.20_gamma0.10,0.2,0.1,2,20144,1,3,degree,6,0.7955,2.2614,0.7727,3.0341,88
smoke,beta0.20_gamma0.10,0.2,0.1,2,20144,1,3,degree,7,0.6591,2.1818,0.9886,3.1705,88
smoke,beta0.20_gamma0.10,0.2,0.1,2,20144,1,3,degree,8,0.5682,2.0568,1.2045,3.2614,88
smoke,beta0.20_gamma0.10,0.2,0.1,2,20144,1,3,degree,9,0.5341,1.8977,1.3977,3.2955,88
smoke,beta0.20_gamma0.10,0.2,0.1,2,20144,1,3,degree,10,0.5341,1.75,1.5455,3.2955,88
smoke,beta0.20_gamma0.10,0.2,0.1,0,145,1,3,betweenness,0,2.8523,0.9773,0.0,0.9773,88
smoke,beta0.20_gamma0.10,0.2,0.1,0,145,1,3,betweenness,1,2.5568,1.1818,0.0909,1.2727,88
smoke,beta0.20_gamma0.10,0.2,0.1,0,145,1,3,betweenness,2,2.1591,1.4886,0.1818,1.6705,88
smoke,beta0.20_gamma0.10,0.2,0.1,0,145,1,3,betweenness,3,1.7386,1.7955,0.2955,2.0909,88
smoke,beta0.20_gamma0.10,0.2,0.1,0,145,1,3,betweenness,4,1.3409,1.9545,0.5341,2.4886,88
smoke,beta0.20_gamma0.10,0.2,0.1,0,145,1,3,betweenness,5,1.1818,1.875,0.7727,2.6477,88
smoke,beta0.20_gamma0.10,0.2,0.1,0,145,1,3,betweenness,6,0.9659,1.8523,1.0114,2.8636,88
smoke,beta0.20_gamma0.10,0.2,0.1,0,145,1,3,betweenness,7,0.8409,1.7955,1.1932,2.9886,88
smoke,beta0.20_gamma0.10,0.2,0.1,0,145,1,3,betweenness,8,0.7273,1.7159,1.3864,3.1023,88
smoke,beta0.20_gamma0.10,0.2,0.1,0,145,1,3,betweenness,9,0.6477,1.5795,1.6023,3.1818,88
smoke,beta0.20_gamma0.10,0.2,0.1,0,145,1,3,betweenness,10,0.6136,1.4432,1.7727,3.2159,88
smoke,beta0.20_gamma0.10,0.2,0.1,1,10145,1,3,betweenness,0,2.8523,0.9773,0.0,0.9773,88
smoke,beta0.20_gamma0.10,0.2,0.1,1,10145,1,3,betweenness,1,2.5114,1.1477,0.1705,1.3182,88
smoke,beta0.20_gamma0.10,0.2,0.1,1,10145,1,3,betweenness,2,2.1705,1.4205,0.2386,1.6591,88
smoke,beta0.20_gamma0.10,0.2,0.1,1,10145,1,3,betweenness,3,1.8295,1.6364,0.3636,2.0,88
smoke,beta0.20_gamma0.10,0.2,0.1,1,10145,1,3,betweenness,4,1.625,1.6705,0.5341,2.2045,88
smoke,beta0.20_gamma0.10,0.2,0.1,1,10145,1,3,betweenness,5,1.4205,1.6818,0.7273,2.4091,88
smoke,beta0.20_gamma0.10,0.2,0.1,1,10145,1,3,betweenness,6,1.2045,1.7841,0.8409,2.625,88
smoke,beta0.20_gamma0.10,0.2,0.1,1,10145,1,3,betweenness,7,1.1023,1.6932,1.0341,2.7273,88
smoke,beta0.20_gamma0.10,0.2,0.1,1,10145,1,3,betweenness,8,1.0,1.6591,1.1705,2.8295,88
smoke,beta0.20_gamma0.10,0.2,0.1,1,10145,1,3,betweenness,9,0.9432,1.6136,1.2727,2.8864,88
smoke,beta0.20_gamma0.10,0.2,0.1,1,10145,1,3,betweenness,10,0.8636,1.5682,1.3977,2.9659,88
smoke,beta0.20_gamma0.10,0.2,0.1,2,20145,1,3,betweenness,0,2.8523,0.9773,0.0,0.9773,88
smoke,beta0.20_gamma0.10,0.2,0.1,2,20145,1,3,betweenness,1,2.4091,1.3068,0.1136,1.4205,88
smoke,beta0.20_gamma0.10,0.2,0.1,2,20145,1,3,betweenness,2,2.0568,1.5227,0.25,1.7727,88
smoke,beta0.20_gamma0.10,0.2,0.1,2,20145,1,3,betweenness,3,1.6705,1.7386,0.4205,2.1591,88
smoke,beta0.20_gamma0.10,0.2,0.1,2,20145,1,3,betweenness,4,1.3295,1.9318,0.5682,2.5,88
smoke,beta0.20_gamma0.10,0.2,0.1,2,20145,1,3,betweenness,5,1.0795,2.0227,0.7273,2.75,88
smoke,beta0.20_gamma0.10,0.2,0.1,2,20145,1,3,betweenness,6,0.875,2.0795,0.875,2.9545,88
smoke,beta0.20_gamma0.10,0.2,0.1,2,20145,1,3,betweenness,7,0.7386,2.0341,1.0568,3.0909,88
smoke,beta0.20_gamma0.10,0.2,0.1,2,20145,1,3,betweenness,8,0.6364,1.9432,1.25,3.1932,88
smoke,beta0.20_gamma0.10,0.2,0.1,2,20145,1,3,betweenness,9,0.5455,1.8523,1.4318,3.2841,88
smoke,beta0.20_gamma0.10,0.2,0.1,2,20145,1,3,betweenness,10,0.5114,1.7614,1.5568,3.3182,88
smoke,beta0.20_gamma0.10,0.2,0.1,0,146,1,3,gnn,0,2.8636,0.9659,0.0,0.9659,88
smoke,beta0.20_gamma0.10,0.2,0.1,0,146,1,3,gnn,1,2.5568,1.2273,0.0455,1.2727,88
smoke,beta0.20_gamma0.10,0.2,0.1,0,146,1,3,gnn,2,2.1477,1.5227,0.1591,1.6818,88
smoke,beta0.20_gamma0.10,0.2,0.1,0,146,1,3,gnn,3,1.625,1.9773,0.2273,2.2045,88
smoke,beta0.20_gamma0.10,0.2,0.1,0,146,1,3,gnn,4,1.2045,2.1705,0.4545,2.625,88
smoke,beta0.20_gamma0.10,0.2,0.1,0,146,1,3,gnn,5,1.0114,2.1932,0.625,2.8182,88
smoke,beta0.20_gamma0.10,0.2,0.1,0,146,1,3,gnn,6,0.8182,2.2159,0.7955,3.0114,88
smoke,beta0.20_gamma0.10,0.2,0.1,0,146,1,3,gnn,7,0.6477,2.1477,1.0341,3.1818,88
smoke,beta0.20_gamma0.10,0.2,0.1,0,146,1,3,gnn,8,0.5909,1.9773,1.2614,3.2386,88
smoke,beta0.20_gamma0.10,0.2,0.1,0,146,1,3,gnn,9,0.5114,1.8523,1.4659,3.3182,88
smoke,beta0.20_gamma0.10,0.2,0.1,0,146,1,3,gnn,10,0.4886,1.6364,1.7045,3.3409,88
smoke,beta0.20_gamma0.10,0.2,0.1,1,10146,1,3,gnn,0,2.8636,0.9659,0.0,0.9659,88
smoke,beta0.20_gamma0.10,0.2,0.1,1,10146,1,3,gnn,1,2.5114,1.2159,0.1023,1.3182,88
smoke,beta0.20_gamma0.10,0.2,0.1,1,10146,1,3,gnn,2,2.1136,1.5114,0.2045,1.7159,88
smoke,beta0.20_gamma0.10,0.2,0.1,1,10146,1,3,gnn,3,1.8068,1.6136,0.4091,2.0227,88
smoke,beta0.20_gamma0.10,0.2,0.1,1,10146,1,3,gnn,4,1.5227,1.7614,0.5455,2.3068,88
smoke,beta0.20_gamma0.10,0.2,0.1,1,10146,1,3,gnn,5,1.3295,1.8182,0.6818,2.5,88
smoke,beta0.20_gamma0.10,0.2,0.1,1,10146,1,3,gnn,6,1.1591,1.8636,0.8068,2.6705,88
smoke,beta0.20_gamma0.10,0.2,0.1,1,10146,1,3,gnn,7,1.0682,1.7841,0.9773,2.7614,88
smoke,beta0.20_gamma0.10,0.2,0.1,1,10146,1,3,gnn,8,0.9886,1.6932,1.1477,2.8409,88
smoke,beta0.20_gamma0.10,0.2,0.1,1,10146,1,3,gnn,9,0.9886,1.5114,1.3295,2.8409,88
smoke,beta0.20_gamma0.10,0.2,0.1,1,10146,1,3,gnn,10,0.9659,1.3636,1.5,2.8636,88
