profile,param_id,beta,gamma,strategy,budget_k_pct,budget_k_nodes,mean_infected_per_hh,std_infected_per_hh,p2_5_infected_per_hh,p97_5_infected_per_hh,mean_reduction_vs_baseline_pct,std_reduction_vs_baseline_pct,p2_5_reduction_vs_baseline_pct,p97_5_reduction_vs_baseline_pct,n_runs
smoke,beta0.20_gamma0.10,0.2,0.1,gnn,17,57,2.2765,0.0596,2.1989,2.3284,27.2828,3.9595,22.1313,30.7466,3
smoke,beta0.20_gamma0.10,0.2,0.1,gnn,18,61,2.144,0.0652,2.0716,2.2228,31.4842,4.4515,25.656,34.7534,3
smoke,beta0.20_gamma0.10,0.2,0.1,gnn,19,64,2.0871,0.0966,1.963,2.179,33.4757,0.6212,32.9812,34.2886,3
smoke,beta0.20_gamma0.10,0.2,0.1,gnn,20,68,2.0076,0.0721,1.9154,2.0772,35.9724,1.3171,34.4821,37.5431,3
smoke,beta0.20_gamma0.10,0.2,0.1,random,1,3,3.1137,0.058,3.0392,3.1688,0.5185,5.5079,-6.1103,6.6739,3
smoke,beta0.20_gamma0.10,0.2,0.1,random,2,6,3.0455,0.0556,2.9807,3.1102,2.8041,2.7958,0.0896,6.3788,3
smoke,beta0.20_gamma0.10,0.2,0.1,random,3,10,2.9887,0.0969,2.862,3.0671,4.4931,6.1218,-2.0143,12.0777,3
smoke,beta0.20_gamma0.10,0.2,0.1,random,4,13,2.9886,0.0895,2.8721,3.0665,4.4809,6.2265,-2.6857,11.8004,3
smoke,beta0.20_gamma0.10,0.2,0.1,random,5,17,2.9735,0.2,2.7494,3.2137,4.8137,10.0708,-7.6366,15.567,3
smoke,beta0.20_gamma0.10,0.2,0.1,random,6,20,2.875,0.0964,2.7488,2.9432,8.1737,5.2144,1.5756,13.4269,3
smoke,beta0.20_gamma0.10,0.2,0.1,random,7,23,2.8485,0.0233,2.8199,2.8739,9.0753,2.7404,5.5781,11.7562,3
smoke,beta0.20_gamma0.10,0.2,0.1,random,8,27,2.9053,0.0326,2.8659,2.9415,7.2179,4.0439,2.534,11.9438,3
smoke,beta0.20_gamma0.10,0.2,0.1,random,9,30,2.7235,0.126,2.5857,2.8773,12.9215,7.007,3.7544,18.5598,3
smoke,beta0.20_gamma0.10,0.2,0.1,random,10,34,2.5871,0.1503,2.3903,2.7034,17.5648,2.2638,14.849,20.106,3
smoke,beta0.20_gamma0.10,0.2,0.1,random,11,37,2.5833,0.1352,2.4096,2.7119,17.4384,6.4822,9.2979,24.1124,3
smoke,beta0.20_gamma0.10,0.2,0.1,random,12,40,2.5227,0.1206,2.4324,2.6807,19.5527,2.6564,17.4475,23.0296,3
smoke,beta0.20_gamma0.10,0.2,0.1,random,13,44,2.5568,0.0185,2.5352,2.5784,18.3378,3.7203,13.6586,22.1525,3
smoke,beta0.20_gamma0.10,0.2,0.1,random,14,47,2.4735,0.165,2.3023,2.6801,21.1136,4.6003,17.4666,27.1347,3
smoke,beta0.20_gamma0.10,0.2,0.1,random,15,51,2.4129,0.0054,2.4091,2.4199,22.9574,2.9196,19.3126,26.0086,3
smoke,beta0.20_gamma0.10,0.2,0.1,random,16,54,2.3182,0.0517,2.2637,2.3824,26.0151,2.3173,24.0801,29.0414,3
smoke,beta0.20_gamma0.10,0.2,0.1,random,17,57,2.303,0.0778,2.2012,2.363,26.4476,4.0857,21.3191,30.6595,3
smoke,beta0.20_gamma0.10,0.2,0.1,random,18,61,2.178,0.0604,2.1063,2.2466,30.4068,4.2349,24.8612,33.6623,3
smoke,beta0.20_gamma0.10,0.2,0.1,random,19,64,2.1856,0.1118,2.0625,2.3215,30.0769,6.2823,22.245,36.6642,3
smoke,beta0.20_gamma0.10,0.2,0.1,random,20,68,2.2083,0.0684,2.1199,2.271,29.5606,1.3026,28.35,31.2413,3
smoke,beta0.25_gamma0.10,0.25,0.1,betweenness,1,3,3.2008,0.0842,3.0972,3.2915,5.0419,2.0155,2.5168,7.1302,3
smoke,beta0.25_gamma0.10,0.25,0.1,betweenness,2,6,3.1781,0.1559,3.0177,3.3739,5.6483,5.5906,-0.1115,12.6674,3
smoke,beta0.25_gamma0.10,0.25,0.1,betweenness,3,10,3.2159,0.0464,3.1619,3.2699,4.5691,2.0312,1.928,6.3561,3
smoke,beta0.25_gamma0.10,0.25,0.1,betweenness,4,13,3.1742,0.1099,3.0915,3.3181,5.7215,5.3905,-1.2453,10.6828,3
smoke,beta0.25_gamma0.10,0.25,0.1,betweenness,5,17,3.0076,0.0268,2.9886,3.0427,10.7532,1.4918,8.819,12.0969,3
smoke,beta0.25_gamma0.10,0.25,0.1,betweenness,6,20,3.0303,0.0054,3.0233,3.0341,10.0599,2.2436,7.4322,12.6526,3
smoke,beta0.25_gamma0.10,0.25,0.1,betweenness,7,23,2.9129,0.0054,2.9091,2.9199,13.5482,2.0235,11.2289,15.9357,3
smoke,beta0.25_gamma0.10,0.25,0.1,betweenness,8,27,2.8409,0.0809,2.7353,2.908,15.6336,4.2437,11.2795,20.9698,3
smoke,beta0.25_gamma0.10,0.25,0.1,betweenness,9,30,2.7917,0.0702,2.7,2.8512,17.1013,3.9139,13.0129,21.9884,3
smoke,beta0.25_gamma0.10,0.25,0.1,betweenness,10,34,2.7159,0.0914,2.5989,2.804,19.3335,4.5315,14.4502,24.9095,3
smoke,beta0.25_gamma0.10,0.25,0.1,betweenness,11,37,2.4886,0.1033,2.3795,2.617,26.1684,2.8501,22.4826,28.7814,3
smoke,beta0.25_gamma0.10,0.25,0.1,betweenness,12,40,2.572,0.1075,2.4313,2.658,23.6557,3.8967,19.0092,28.0654,3
smoke,beta0.25_gamma0.10,0.25,0.1,betweenness,13,44,2.4167,0.0283,2.3875,2.4522,28.2557,2.5229,25.181,31.0211,3
smoke,beta0.25_gamma0.10,0.25,0.1,betweenness,14,47,2.394,0.0298,2.3551,2.4199,28.9455,2.0547,26.2548,30.4824,3
smoke,beta0.25_gamma0.10,0.25,0.1,betweenness,15,51,2.3864,0.0335,2.3437,2.4194,29.1593,2.4172,26.8134,32.2502,3
smoke,beta0.25_gamma0.10,0.25,0.1,betweenness,16,54,2.2462,0.0618,2.1841,2.3244,33.2918,3.3976,29.0788,36.8971,3
smoke,beta0.25_gamma0.10,0.25,0.1,betweenness,17,57,2.2955,0.0556,2.2307,2.3602,31.8937,1.5535,30.0652,33.6792,3
smoke,beta0.25_gamma0.10,0.25,0.1,betweenness,18,61,2.1932,0.0825,2.1159,2.2994,34.9238,2.4964,31.8381,37.5905,3
smoke,beta0.25_gamma0.10,0.25,0.1,betweenness,19,64,2.1629,0.0458,2.1256,2.2228,35.8323,0.9474,34.773,36.972,3
smoke,beta0.25_gamma0.10,0.25,0.1,betweenness,20,68,2.0492,0.0597,1.9716,2.1012,39.1421,3.1144,35.8949,43.034,3
smoke,beta0.25_gamma0.10,0.25,0.1,degree,1,3,3.303,0.0952,3.2079,3.4238,2.0114,2.1862,0.0492,4.8472,3
smoke,beta0.25_gamma0.10,0.25,0.1,degree,2,6,3.2121,0.1333,3.0937,3.3852,4.5928,5.9565,-3.2076,9.1422,3
smoke,beta0.25_gamma0.10,0.25,0.1,degree,3,10,3.178,0.0618,3.1159,3.2563,5.6935,2.3155,3.4417,8.6529,3
smoke,beta0.25_gamma0.10,0.25,0.1,degree,4,13,3.1136,0.1275,2.9534,3.2449,7.5564,5.0716,1.1187,12.6139,3
smoke,beta0.25_gamma0.10,0.25,0.1,degree,5,17,3.0455,0.0743,2.959,3.1319,9.5617,4.3247,4.4466,14.5046,3
smoke,beta0.25_gamma0.10,0.25,0.1,degree,6,20,3.1174,0.0929,3.0063,3.2222,7.542,0.5988,6.9113,8.287,3
smoke,beta0.25_gamma0.10,0.25,0.1,degree,7,23,3.0455,0.0321,3.0034,3.0682,9.6122,2.3821,6.4931,11.4572,3
smoke,beta0.25_gamma0.10,0.25,0.1,degree,8,27,3.0114,0.1367,2.8693,3.1824,10.6827,3.1951,7.9268,14.8453,3
smoke,beta0.25_gamma0.10,0.25,0.1,degree,9,30,2.8864,0.0186,2.8647,2.908,14.3409,1.8312,11.9729,16.0199,3
smoke,beta0.25_gamma0.10,0.25,0.1,degree,10,34,2.7651,0.0992,2.6631,2.8897,17.8641,4.8763,11.8281,23.0575,3
smoke,beta0.25_gamma0.10,0.25,0.1,degree,11,37,2.8068,0.0982,2.7182,2.9341,16.642,4.6589,10.5424,20.2879,3
smoke,beta0.25_gamma0.10,0.25,0.1,degree,12,40,2.8219,0.1559,2.6261,2.9823,16.2765,4.4725,12.5635,22.1195,3
smoke,beta0.25_gamma0.10,0.25,0.1,degree,13,44,2.7386,0.114,2.5903,2.8386,18.6466,5.1604,13.3933,25.1537,3
smoke,beta0.25_gamma0.10,0.25,0.1,degree,14,47,2.7311,0.0386,2.6943,2.7807,18.952,1.902,17.5184,21.4428,3
smoke,beta0.25_gamma0.10,0.25,0.1,degree,15,51,2.7689,0.0476,2.7085,2.8165,17.8281,2.1044,15.1185,19.8065,3
smoke,beta0.25_gamma0.10,0.25,0.1,degree,16,54,2.6932,0.1159,2.5829,2.8421,20.1237,2.5016,17.7745,23.3454,3
smoke,beta0.25_gamma0.10,0.25,0.1,degree,17,57,2.6288,0.0882,2.5278,2.7329,22.0114,2.2984,19.0583,24.195,3
smoke,beta0.25_gamma0.10,0.25,0.1,degree,18,61,2.678,0.0631,2.5966,2.7369,20.5519,1.286,18.9541,21.9105,3
smoke,beta0.25_gamma0.10,0.25,0.1,degree,19,64,2.6099,0.0702,2.5182,2.6694,22.4975,3.7905,18.5601,27.2414,3
smoke,beta0.25_gamma0.10,0.25,0.1,degree,20,68,2.5871,0.0789,2.4937,2.6773,23.1896,3.5426,20.5534,27.8285,3
smoke,beta0.25_gamma0.10,0.25,0.1,gnn,1,3,3.3371,0.0375,3.2972,3.3836,0.972,1.9151,-1.5345,2.3538,3
smoke,beta0.25_gamma0.10,0.25,0.1,gnn,2,6,3.2008,0.0233,3.1722,3.2262,5.0144,1.8583,3.1876,7.3828,3
smoke,beta0.25_gamma0.10,0.25,0.1,gnn,3,10,3.0227,0.1315,2.9011,3.1926,10.3525,2.7818,7.6327,13.9031,3
smoke,beta0.25_gamma0.10,0.25,0.1,gnn,4,13,3.0682,0.0793,2.9813,3.1648,8.9043,4.0866,3.558,11.8024,3
smoke,beta0.25_gamma0.10,0.25,0.1,gnn,5,17,2.928,0.1266,2.7711,3.0625,13.062,5.0159,6.6752,18.0104,3
smoke,beta0.25_gamma0.10,0.25,0.1,gnn,6,20,2.8561,0.0511,2.7983,2.9171,15.2522,1.7985,12.9917,17.1,3
smoke,beta0.25_gamma0.10,0.25,0.1,gnn,7,23,2.8523,0.0491,2.8079,2.916,15.342,2.5983,13.4717,18.7427,3
smoke,beta0.25_gamma0.10,0.25,0.1,gnn,8,27,2.5454,0.1003,2.4176,2.6443,24.5038,2.1159,21.7501,26.3481,3
smoke,beta0.25_gamma0.10,0.25,0.1,gnn,9,30,2.6439,0.0326,2.6046,2.6801,21.5075,2.8017,18.2303,24.7495,3
smoke,beta0.25_gamma0.10,0.25,0.1,gnn,10,34,2.644,0.0375,2.5949,2.6705,21.5532,0.9884,20.8354,22.847,3
smoke,beta0.25_gamma0.10,0.25,0.1,gnn,11,37,2.6288,0.0708,2.5398,2.7017,21.9317,3.8976,17.5705,26.6184,3
smoke,beta0.25_gamma0.10,0.25,0.1,gnn,12,40,2.5454,0.0425,2.492,2.5892,24.4347,2.7173,21.9429,27.9485,3
smoke,beta0.25_gamma0.10,0.25,0.1,gnn,13,44,2.322,0.0438,2.2654,2.3625,31.1153,0.4982,30.6529,31.7583,3
smoke,beta0.25_gamma0.10,0.25,0.1,gnn,14,47,2.4091,0.0371,2.3659,2.4522,28.4883,2.3717,26.4331,31.5768,3
