Node_A,Node_B,weight
169,172,24480
169,173,21400
170,171,160
170,172,19280
170,173,17160
171,172,24840
171,173,16760
172,173,122520
174,175,10600
174,176,3160
175,176,3080
177,178,800
177,179,9680
177,180,4640
178,179,12040
178,180,7320
179,180,9240
181,182,10720
181,183,20320
182,183,22520
184,185,101160
184,186,29200
184,187,23640
185,186,59040
185,187,33240
186,187,16320
188,189,1640
190,191,1200
190,192,760
190,193,840
190,194,7720
190,195,6320
191,192,3320
191,193,360
191,194,5760
191,195,600
192,193,1600
192,194,9320
192,195,3760
193,194,760
193,195,800
194,195,14600
196,197,77760
196,198,6280
197,198,9160
199,200,86960
199,201,15240
199,202,520
199,203,24040
199,204,26520
200,201,31760
200,202,40
200,203,28960
200,204,26200
201,203,5840
201,204,7560
202,203,1040
202,204,1640
203,204,43480
205,206,79240
205,207,520
205,208,91400
205,209,11360
206,207,7800
206,208,84640
206,209,23400
207,208,9080
207,209,6240
208,209,95040
210,211,23280
212,213,1840
212,214,3600
212,215,1520
213,214,840
214,215,240
216,217,2560
218,220,4160
218,221,7000
219,220,240
220,221,23000
222,223,4320
222,224,51600
222,225,36960
223,224,7320
223,225,5400
224,225,82880
226,227,1640
226,228,440
226,229,320
227,228,5000
227,229,3040
228,229,13200
230,231,320
230,232,12200
230,233,1960
231,232,760
231,233,280
232,233,41400
234,235,5760
234,236,7000
235,236,10600
237,238,200
237,239,640
237,240,600
237,241,3520
237,242,2120
238,239,3800
238,240,240
238,241,800
238,242,1240
239,240,840
239,241,320
239,242,4160
240,241,240
240,242,480
241,242,1720
243,244,3400
245,246,8720
247,248,12400
248,249,120
249,250,80
251,252,1720
251,254,680
252,253,7480
252,254,1160
255,256,6560
255,257,3160
255,258,2160
255,259,8680
256,257,5800
256,258,3160
256,259,33400
257,258,8320
257,259,3400
258,259,5040
260,261,120
262,263,840
262,264,80
263,264,720
265,266,7400
265,267,8040
266,267,2360
268,269,15280
268,270,21120
269,270,17680
271,272,4240
271,273,480
272,273,16040
272,274,12200
273,274,54960
275,276,10320
275,277,3160
275,278,34480
276,277,12560
276,278,64640
277,278,33520
279,280,200
279,281,720
279,282,840
279,283,5800
280,281,4680
280,282,3160
280,283,10200
281,282,8760
281,283,82000
282,283,44280
284,285,1960
284,286,1120
284,287,1280
284,288,520
285,286,680
285,287,40
286,287,12840
286,288,6800
287,288,2440
289,291,8280
289,292,7040
290,291,57720
290,292,2280
291,292,4960
293,294,2880
293,295,160
294,295,1200
296,297,2040
296,298,120
296,299,440
297,298,1720
297,299,720
298,299,10920
300,301,3880
300,302,1320
301,302,16760
303,304,3720
303,305,40
303,307,80
303,308,40
304,305,4200
